,CA,TX,MT,OH,KS
2016-05-31,2419.0,658.0,323.0,,881.0
2016-05-30,4350.0,,402.0,,1201.0
2016-05-29,2269.0,646.0,305.0,,856.0
2016-05-28,3403.0,820.0,358.0,,1080.0
2016-05-27,3711.0,983.0,371.0,,1220.0
2016-05-26,2336.0,720.0,306.0,,903.0
2016-05-23,2228.0,,318.0,,763.0
2016-05-25,1772.0,592.0,333.0,,706.0
2016-05-24,1642.0,525.0,297.0,,630.0
2016-05-18,1663.0,596.0,313.0,,614.0
2016-05-22,2786.0,636.0,357.0,,796.0
2016-05-21,2379.0,587.0,311.0,,733.0
2016-05-19,2222.0,,311.0,,732.0
2016-05-20,2886.0,686.0,356.0,,850.0
2016-06-29,1962.0,691.0,403.0,,858.0
2016-06-30,2559.0,780.0,433.0,,1094.0
2016-06-24,3213.0,807.0,,,1071.0
2016-06-25,2801.0,587.0,,,1121.0
2016-06-23,2425.0,654.0,,,942.0
2016-06-27,2639.0,646.0,,,970.0
2016-06-26,3365.0,822.0,,,1143.0
2016-06-28,2079.0,626.0,224.0,,845.0
2016-06-22,2134.0,641.0,,,809.0
2016-06-21,1830.0,624.0,,,729.0
2016-06-20,2878.0,695.0,,,921.0
2016-06-19,3562.0,686.0,383.0,,1061.0
2016-06-16,2565.0,688.0,332.0,,887.0
2016-06-17,3213.0,811.0,402.0,,1014.0
2016-06-18,3196.0,799.0,372.0,,1094.0
2016-06-02,1930.0,686.0,,,845.0
2016-06-01,1757.0,566.0,,,811.0
2016-06-04,2502.0,774.0,336.0,,909.0
2016-06-03,2655.0,768.0,319.0,,976.0
2016-06-06,2344.0,608.0,297.0,,806.0
2016-06-05,2791.0,716.0,331.0,,915.0
2016-06-08,2089.0,690.0,294.0,,721.0
2016-06-07,1974.0,652.0,309.0,,665.0
2016-06-11,3309.0,631.0,320.0,,979.0
2016-06-10,3788.0,852.0,410.0,,1006.0
2016-06-09,2857.0,721.0,325.0,,853.0
2016-06-15,2127.0,670.0,364.0,,744.0
2016-06-14,2066.0,580.0,346.0,,749.0
2016-06-12,3607.0,753.0,396.0,,1020.0
2016-06-13,2948.0,646.0,332.0,,859.0
2016-07-31,3932.0,864.0,376.0,399.0,1364.0
2016-07-30,3535.0,774.0,378.0,442.0,1411.0
2016-07-13,2257.0,624.0,334.0,472.0,812.0
2016-07-12,2043.0,620.0,352.0,433.0,730.0
2016-07-14,2619.0,652.0,372.0,445.0,893.0
2016-07-10,3237.0,828.0,395.0,389.0,1175.0
2016-07-11,2716.0,692.0,375.0,447.0,913.0
2016-07-09,3185.0,811.0,344.0,564.0,1245.0
2016-07-01,4059.0,1056.0,,,1542.0
2016-07-02,4661.0,1112.0,,,1481.0
2016-07-03,2666.0,687.0,,,1067.0
2016-07-04,3466.0,749.0,,,927.0
2016-07-06,2510.0,721.0,,,949.0
2016-07-05,3494.0,806.0,,,1165.0
2016-07-08,3249.0,766.0,,515.0,1158.0
2016-07-07,2418.0,755.0,,,948.0
2016-07-29,3786.0,823.0,408.0,535.0,1188.0
2016-07-28,2933.0,661.0,399.0,441.0,1089.0
2016-07-27,2335.0,682.0,349.0,422.0,926.0
2016-07-26,2240.0,596.0,383.0,468.0,840.0
2016-07-22,3321.0,845.0,381.0,463.0,1148.0
2016-07-23,3254.0,773.0,333.0,482.0,1296.0
2016-07-24,3517.0,760.0,400.0,349.0,1251.0
2016-07-25,2916.0,749.0,365.0,477.0,982.0
2016-07-19,2116.0,581.0,,475.0,756.0
2016-07-21,2845.0,733.0,368.0,496.0,935.0
2016-07-20,2341.0,613.0,,417.0,913.0
2016-07-15,3226.0,784.0,467.0,468.0,1165.0
2016-07-16,3269.0,777.0,391.0,474.0,1176.0
2016-07-17,3387.0,853.0,417.0,412.0,1217.0
2016-07-18,2848.0,693.0,384.0,454.0,924.0
2016-08-01,3242.0,589.0,,458.0,1085.0
2016-08-02,2239.0,588.0,,398.0,846.0
2016-08-04,2629.0,673.0,,400.0,1047.0
2016-08-03,2337.0,619.0,,396.0,
2016-08-08,2641.0,651.0,370.0,445.0,940.0
2016-08-07,3489.0,686.0,451.0,380.0,1288.0
2016-08-05,3424.0,806.0,420.0,450.0,1169.0
2016-08-06,3310.0,719.0,410.0,480.0,1269.0
2016-08-09,2309.0,574.0,,463.0,781.0
2016-08-11,2526.0,712.0,,461.0,889.0
2016-08-10,2192.0,589.0,,409.0,853.0
2016-08-12,3243.0,733.0,,501.0,955.0
2016-08-13,3110.0,647.0,,522.0,998.0
2016-08-15,2752.0,603.0,,427.0,803.0
2016-08-14,3353.0,632.0,,344.0,1135.0
2016-08-18,2369.0,630.0,,457.0,772.0
2016-08-17,1985.0,586.0,344.0,437.0,707.0
2016-08-16,2082.0,523.0,343.0,410.0,723.0
2016-08-19,3491.0,694.0,,513.0,827.0
2016-08-20,2933.0,639.0,,476.0,854.0
2016-08-22,2438.0,554.0,381.0,446.0,702.0
2016-08-21,3390.0,628.0,430.0,436.0,873.0
2016-08-23,1965.0,543.0,326.0,452.0,583.0
2016-08-25,2441.0,508.0,349.0,446.0,664.0
2016-08-24,1958.0,489.0,310.0,410.0,629.0
2016-08-26,3061.0,602.0,390.0,457.0,753.0
2016-08-27,2484.0,507.0,323.0,519.0,674.0
2016-08-28,2682.0,714.0,377.0,406.0,690.0
2016-08-29,2035.0,458.0,316.0,422.0,617.0
2016-08-31,1753.0,516.0,327.0,393.0,609.0
2016-08-30,1653.0,454.0,325.0,411.0,535.0
2016-09-28,1625.0,527.0,298.0,432.0,
2016-09-30,2644.0,681.0,289.0,455.0,804.0
2016-09-29,1927.0,572.0,286.0,452.0,733.0
2016-09-27,1552.0,485.0,290.0,428.0,604.0
2016-09-23,2473.0,670.0,368.0,548.0,853.0
2016-09-24,2187.0,546.0,281.0,518.0,763.0
2016-09-26,1999.0,511.0,259.0,366.0,597.0
2016-09-25,2448.0,603.0,342.0,388.0,798.0
2016-09-20,1626.0,533.0,310.0,415.0,605.0
2016-09-22,1962.0,575.0,321.0,435.0,700.0
2016-09-21,1672.0,517.0,352.0,403.0,642.0
2016-09-16,3013.0,640.0,329.0,482.0,825.0
2016-09-19,2323.0,502.0,301.0,445.0,697.0
2016-09-18,2955.0,601.0,305.0,412.0,818.0
2016-09-17,2828.0,531.0,306.0,498.0,767.0
2016-09-05,4272.0,883.0,344.0,397.0,1265.0
2016-09-06,2167.0,500.0,280.0,464.0,641.0
2016-09-07,1695.0,561.0,343.0,454.0,607.0
2016-09-03,4065.0,818.0,362.0,497.0,916.0
2016-09-04,2103.0,468.0,325.0,431.0,696.0
2016-09-02,3259.0,811.0,424.0,503.0,1083.0
2016-09-01,2226.0,620.0,364.0,447.0,883.0
2016-09-14,1618.0,510.0,328.0,418.0,636.0
2016-09-15,2149.0,586.0,338.0,463.0,751.0
2016-09-13,1704.0,477.0,306.0,384.0,560.0
2016-09-12,1722.0,503.0,299.0,414.0,660.0
2016-09-11,2472.0,552.0,374.0,405.0,749.0
2016-09-10,2232.0,557.0,334.0,517.0,792.0
2016-09-08,1833.0,563.0,357.0,438.0,653.0
2016-09-09,2353.0,583.0,357.0,482.0,769.0
2016-11-30,1481.0,647.0,250.0,443.0,399.0
2016-11-29,1601.0,574.0,198.0,409.0,397.0
